row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class,instrument
1,v1,M4,2026-07-25,M,fable,1,2,1,2,0,4,4,4,NA,pre_v5
2,v1,M4,2026-07-25,S,fable,1,0,1,3,0,5,4,5,NA,pre_v5
3,v1,M4,2026-07-25,L,fable,1,2,2,3,0,5,4,5,NA,pre_v5
4,v1,M4,2026-07-25,M,fable,1,1,1,3,1,5,4,4,NA,pre_v5
5,v1,M4,2026-07-26,M,opus,1,0,0,4,0,4,5,5,NA,pre_v5
6,v1,M4,2026-07-26,L,fable,0,NA,NA,NA,NA,NA,NA,NA,NA,pre_v5
7,v1,M4,2026-07-26,S,fable,1,1,1,2,0,4,4,4,NA,pre_v5
8,v1,M4,2026-07-26,M,opus,1,0,2,3,0,5,5,5,NA,pre_v5
9,v1,M4,2026-07-26,L,opus,1,1,3,3,0,5,5,4,NA,pre_v5
10,v1,M4,2026-07-27,M,fable,1,0,2,5,0,NA,NA,NA,NA,pre_v5
11,v2,M5,2026-07-27,M,opus,1,0,3,2,1,5,4,4,NA,pre_v5
12,v2,M5,2026-07-27,L,fable,1,0,2,5,0,5,4,3,NA,pre_v5
13,v2,M5,2026-07-28,M,opus,1,0,2,2,0,5,5,4,NA,pre_v5
14,v2,M5,2026-07-28,L,fable,1,0,2,5,0,5,4,4,NA,pre_v5
15,v2,M5,2026-07-28,M,fable,1,2,6,4,0,5,3,4,NA,pre_v5
16,v2,M5,2026-07-29,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
17,v2,M5,2026-07-29,S,fable,1,1,2,3,0,4,4,5,NA,pre_v5
18,v2,M5,2026-07-29,M,opus,1,1,2,3,0,5,4,4,NA,pre_v5
19,v2,M5,2026-07-30,L,fable,1,3,3,3,0,5,5,5,NA,pre_v5
20,v2,M5,2026-07-30,M,fable,1,1,2,3,0,4,4,4,NA,pre_v5
21,v2,M5,2026-07-30,M,opus,1,0,3,3,0,5,4,4,NA,pre_v5
22,v2,M5,2026-07-30,S,opus,1,0,0,2,0,NA,NA,NA,NA,pre_v5
23,v2,M5,2026-07-31,S,fable,1,0,3,3,0,5,4,4,NA,pre_v5
24,v2,M5,2026-07-31,S,opus,1,0,3,3,0,4,5,4,NA,pre_v5
25,v2,M5,2026-07-31,L,opus,1,2,6,NA,0,4,4,4,NA,pre_v5
26,v2,M5,2026-07-31,M,fable,1,0,4,2,1,5,4,4,NA,pre_v5
27,v2,M5,2026-08-01,S,opus,1,0,1,2,0,5,4,5,NA,pre_v5
28,v2,M5,2026-08-01,L,fable,1,3,6,5,2,5,3,4,NA,pre_v5
29,v2,M5,2026-08-01,L,opus,1,1,4,4,2,5,4,4,NA,pre_v5
30,v2,M5,2026-08-01,S,fable,1,0,0,3,0,5,4,5,NA,pre_v5
31,v2,M5,2026-08-01,L,opus,1,1,2,2,0,4,4,4,NA,pre_v5
32,v2,M5,2026-08-02,L,fable,1,0,2,5,0,4,4,5,NA,pre_v5
33,v2,M5,2026-08-02,M,opus,1,0,3,2,0,5,4,5,NA,pre_v5
34,v2,M5,2026-08-02,M,fable,1,0,2,3,0,5,5,4,NA,pre_v5
35,v2,M5,2026-08-02,M,opus,1,0,2,3,0,5,5,4,NA,pre_v5
36,v2,M5,2026-08-02,M,fable,1,1,NA,NA,NA,NA,NA,NA,NA,pre_v5
37,v2,M5,2026-08-02,M,opus,1,0,2,3,0,5,4.5,5,NA,pre_v5
38,v2,M5,2026-08-03,S,fable,1,0,1,0,NA,NA,NA,NA,NA,pre_v5
39,v2,M5,2026-08-03,S,fable,1,0,0,0,0,5,4,5,NA,pre_v5
40,v2,M5,2026-08-03,L,opus,1,1,3,5,1,NA,NA,NA,NA,pre_v5
41,v2,M5,2026-08-03,M,fable,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
42,v2,M5,2026-08-03,M,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M6-1,v2,M6,2026-08-04,M,fable,1,0,2,3,0,5,4.5,5,NA,pre_v5
M6-2,v2,M6,2026-08-04,M,opus,1,1,4,5,0,5,4,4,NA,pre_v5
M7-1,v2,M7,2026-08-04,L,fable,1,1,3,5,1,5,4,4,NA,pre_v5
M7-2,v2,M7,2026-08-04,L,opus,1,2,4,2,0,4,4,4,NA,pre_v5
M7-4,v2,M7,2026-08-05,M,opus,1,0,2,3,0,5,4,4,NA,pre_v5
RIM-DIM,v2,M7,2026-08-05,M,fable,1,1,2,5,0,5,4,4,NA,pre_v5
M6-3,v2,M6,2026-08-05,L,fable,1,0,5,4,0,5,4,4,NA,pre_v5
F3+F4,v2,M7,2026-08-05,M,opus,1,1,3,4,0,NA,NA,NA,NA,pre_v5
KERNEL,v2,M7,2026-08-05,S,fable,1,0,1,4,0,5,4,4,NA,pre_v5
SKINFIT,v2,M7,2026-08-05,S,opus,1,0,1,3,0,5,5,5,NA,pre_v5
M7-3,v2,M7,2026-08-05,M,fable,1,3,2,3,0,4,4,3,NA,pre_v5
FOLD,v2,M7,2026-08-06,S,opus,1,1,2,2,0,4,5,3,NA,pre_v5
MONTAGE,v2,M7,2026-08-06,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
MIGRATE,v2,M7,2026-08-06,M,fable,1,2,2,5,2,4,4,4,NA,pre_v5
M6-5,v2,M6,2026-08-06,M,opus,1,0,2,3,0,5,4,5,NA,pre_v5
MESH,v2,M7,2026-08-06,M,fable,1,0,2,3,0,5,4,4,NA,pre_v5
MV2,v2,M7,2026-08-06,S,fable,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
GUARD,v2,M7,2026-08-07,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M6-6,v2,M6,2026-08-07,M,fable,1,1,1,NA,0,NA,NA,NA,NA,pre_v5
KLINT,v2,M7,2026-08-07,M,opus,1,0,1,4,0,5,4,4,NA,pre_v5
KLINT-GATE,v3,M7,2026-08-08,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
RTIMEOUT,v3,M7,2026-08-08,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
WMONTAGE,v3,M7,2026-08-09,S,fable,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M7-6,v3,M7,2026-08-09,M,fable,1,1,4,3,0,4,2,3,NA,pre_v5
REBASELINE,v3,M8,2026-08-10,S,fable,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
RENDER-CLI,v3,M8,2026-08-10,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M8-C1,v3,M8,2026-08-10,M,opus,1,1,2,3,0,5,4,4,NA,pre_v5
M8-5,v3,M8,2026-08-10,M,fable,1,1,2,4,0,5,4,5,NA,pre_v5
M8-2,v3,M8,2026-08-10,M,opus,1,0,2,2,NA,5,4,5,NA,pre_v5
M8-1,v3,M8,2026-08-10,S,fable,1,2,1,3,0,5,3,4,NA,pre_v5
M7-8,v3,M7,2026-08-09,M,opus,1,1,2,3,0,5,3,5,NA,pre_v5
CALOCH,v3,M7,2026-08-09,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M7-7,v3,M7,2026-08-09,M,opus,1,1,2,4,2,5,4,5,NA,pre_v5
M7-5,v2,M7,2026-08-08,M,fable,1,3,3,2,0,4,2,3,NA,pre_v5
U2,v2,LIB,2026-08-08,L,fable,1,1,1,3,2,5,4,5,NA,pre_v5
SWITCH-P,v3,LIB,2026-08-09,L,opus,1,0,4,2,0,5,4,4,NA,pre_v5
U7,v3,LIB,2026-08-09,M,opus,1,0,1,3,0,5,4,4,NA,pre_v5
G2,v3,LIB,2026-08-09,L,opus,1,0,3,2,0,5,4,4,NA,pre_v5
G1,v2,LIB,2026-08-08,M,opus,1,1,1,3,0,5,4,4,NA,pre_v5
U3,v2,LIB,2026-08-08,M,fable,1,0,0,3,0,NA,NA,NA,NA,pre_v5
U1,v2,LIB,2026-08-07,S,opus,1,0,2,3,0,5,3,3,NA,pre_v5
U5,v3,LIB,2026-08-09,M,opus,1,0,2,5,0,5,3,4,NA,pre_v5
U9S,v3,LIB,2026-08-09,M,opus,1,0,3,4,0,5,4,4,NA,pre_v5
SEL1,v3,LIB,2026-08-09,M,opus,1,0,1,2,0,5,4,4,NA,pre_v5
SWITCH-E,v3,LIB,2026-08-09,L,fable,1,2,2,6,0,5,4,4,NA,pre_v5
SEL2,v3,LIB,2026-08-10,M,fable,1,0,1,3,0,NA,NA,NA,NA,pre_v5
DOORS,v3,LIB,2026-08-10,M,fable,1,0,3,4,0,5,4,4,NA,pre_v5
PR-C,v3,LIB,2026-08-10,M,opus,1,0,2,3,0,5,4,5,NA,pre_v5
PYG1,v3,LIB,2026-08-10,L,opus,1,0,3,3,2,5,5,4,NA,pre_v5
U10,v3,LIB,2026-08-10,M,opus,1,0,1,4,0,5,5,4,NA,pre_v5
R1-PARAMS,v3,LIB,2026-08-10,S,fable,1,0,1,4,0,5,5,5,NA,pre_v5
PY-CI,v3,LIB,2026-08-10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,pre_v5
PYG23A,v3,LIB,2026-08-11,M,opus,1,0,1,4,0,5,4,4,NA,pre_v5
ASM-1,v3,ASM,2026-08-11,M,fable,1,0,1,4,0,5,5,4,NA,pre_v5
PYBUNDLE,v3,LIB,2026-08-11,M,opus,1,1,2,3,3,5,4,3,NA,pre_v5
ASM-ROOTS,v3,ASM,2026-08-11,M,opus,1,0,0,5,0,5,5,4,NA,pre_v5
