# WITHHELD FROM THE CODER. The A/B-to-R1/R2 mapping and the
# reviewer models for each pair. Opening this during a coding
# pass voids the blind; unblind_adjudication.py reads it after.
row_id,line_no,date,date_raw,era,era_straddled,recorded_byte,recorded_parity,blind_byte,blind_parity,a_slot,b_slot,a_model,b_model,assignment_source
PIERCE,1678,2026-08-27,2026-08-27,pre-5.1,False,180,0,254,0,R1,R2,opus,fable,parsed
TEAPOT,1679,2026-08-27,2026-08-27,pre-5.1,False,161,1,220,0,R1,R2,fable,opus,parsed
P-1a,1759,2026-08-27,2026-08-27,pre-5.1,False,238,0,19,1,R2,R1,fable,opus,parsed
CENSUS-G2,1787,2026-08-27,2026-08-27,pre-5.1,False,159,1,200,0,R1,R2,fable,opus,parsed
GUI-0,1788,2026-08-27,2026-08-27,pre-5.1,False,180,0,45,1,R2,R1,fable,opus,parsed
GUI-1,1800,2026-08-27,2026-08-27,pre-5.1,False,121,1,216,0,R1,R2,fable,opus,parsed
GUI-3,1822,2026-08-27,2026-08-27,pre-5.1,False,35,1,45,1,R2,R1,opus,fable,parsed
GUI-2,1851,2026-08-27,2026-08-27/28,pre-5.1,False,89,1,104,0,R1,R2,fable,opus,parsed
GUI-4,1918,2026-08-28,2026-08-28,pre-5.1,False,142,0,6,0,R1,R2,opus,fable,parsed
SHELLFIX1,1919,2026-08-28,2026-08-28,pre-5.1,False,,1,182,0,R1,R2,fable,opus,parsed
LILYWELD1,1920,2026-08-28,2026-08-28,pre-5.1,False,,0,216,0,R1,R2,opus,fable,parsed
SHELLFIX2A,1921,2026-08-28,2026-08-28,pre-5.1,False,,0,92,0,R1,R2,opus,fable,parsed
F7POLE,1922,2026-08-29,2026-08-29,pre-5.1,False,,1,108,0,R1,R2,fable,opus,parsed
P-1b,1923,2026-08-29,2026-08-29,pre-5.1,False,243,1,117,1,R2,R1,opus,fable,parsed
M10-1,1957,2026-08-29,2026-08-29,pre-5.1,False,165,,177,1,R2,R1,opus,fable,parsed
M10-DI,1968,2026-08-29,2026-08-29,pre-5.1,False,252,,124,0,R1,R2,opus,fable,parsed
G18A,2035,2026-08-29,2026-08-29,pre-5.1,False,226,0,117,1,R2,R1,fable,opus,parsed
SHELLFIX2B,2036,2026-08-29,2026-08-29,pre-5.1,False,,1,107,1,R2,R1,opus,fable,parsed
M10-P,2050,2026-08-29,2026-08-29,pre-5.1,False,169,,73,1,R2,R1,opus,fable,parsed
CERT2,2210,2026-08-29,2026-08-29,pre-5.1,False,235,1,50,0,R1,R2,fable,opus,parsed
P-2,2229,2026-08-29,2026-08-29,pre-5.1,False,93,1,214,0,R1,R2,fable,opus,parsed
BLEND1,2259,2026-08-29,2026-08-29,pre-5.1,False,77,1,40,0,R1,R2,fable,opus,parsed
G16A,2261,2026-08-29,2026-08-29,pre-5.1,False,176,0,23,1,R2,R1,fable,opus,parsed
CERT1,2305,2026-08-29,2026-08-29,pre-5.1,False,243,1,4,0,R1,R2,fable,opus,parsed
M10-3,2307,2026-08-29,2026-08-29,pre-5.1,False,5,1,93,1,R2,R1,opus,fable,parsed
M10-2,2345,2026-08-29,2026-08-29/30,pre-5.1,False,199,1,196,0,R1,R2,fable,opus,parsed
GA-1,2418,2026-08-30,2026-08-30,pre-5.1,False,54,,216,0,R1,R2,opus,fable,parsed
BLEND7,2420,2026-08-30,2026-08-30,pre-5.1,False,213,1,177,1,R2,R1,opus,fable,parsed
BLEND2,2433,2026-08-30,2026-08-30,pre-5.1,False,176,0,198,0,R1,R2,opus,fable,parsed
BLEND5,2435,2026-08-31,2026-08-31,pre-5.1,False,226,,250,0,R1,R2,opus,fable,parsed
BLEND6,2437,2026-08-31,2026-08-31,pre-5.1,False,65,,20,0,R1,R2,fable,opus,parsed
BLEND3,2439,2026-08-31,2026-08-31,pre-5.1,False,126,,29,1,R2,R1,fable,opus,parsed
BLEND4,2440,2026-08-31,2026-08-31,pre-5.1,False,11,,143,1,R2,R1,opus,fable,parsed
QA-1,2444,2026-08-30,2026-08-30,pre-5.1,False,125,,51,1,R2,R1,opus,fable,parsed
QA-2,2446,2026-08-30,2026-08-30,pre-5.1,False,144,,57,1,R2,R1,fable,opus,parsed
QA-3,2456,2026-08-30,2026-08-30,pre-5.1,False,20,,114,0,R1,R2,opus,fable,parsed
QA-9,2478,2026-08-30,2026-08-30,pre-5.1,False,251,,24,0,R1,R2,fable,opus,parsed
QA-6,2504,2026-08-31,2026-08-31,pre-5.1,False,72,,207,1,R2,R1,fable,opus,parsed
QA-5,2506,2026-08-31,2026-08-31,pre-5.1,False,117,,123,1,R2,R1,opus,fable,parsed
QA-8,2516,2026-08-31,2026-08-31,pre-5.1,False,237,,39,1,R2,R1,opus,fable,parsed
CERT4,2529,2026-08-31,2026-08-31,pre-5.1,False,130,0,238,0,R1,R2,opus,fable,parsed
QA-7,2549,2026-08-31,2026-08-31,pre-5.1,False,197,,180,0,R1,R2,fable,opus,parsed
CERT7,2570,2026-08-31,2026-08-31,pre-5.1,False,114,0,57,1,R2,R1,fable,opus,parsed
QA-6B,2572,2026-08-31,2026-08-31,pre-5.1,False,120,,211,1,R2,R1,fable,opus,parsed
AZ-1,2573,2026-08-31,2026-08-31,pre-5.1,False,189,,234,0,R1,R2,fable,opus,parsed
CERT5,2584,2026-08-31,2026-08-31,pre-5.1,False,219,1,52,0,R1,R2,fable,opus,parsed
CERT9,2605,2026-08-31,2026-08-31,pre-5.1,False,131,1,175,1,R2,R1,opus,fable,parsed
SS-1,2682,2026-08-31,2026-08-31,pre-5.1,False,118,,112,0,R1,R2,opus,fable,parsed
CERT6,2814,2026-08-31,2026-08-31,pre-5.1,False,108,0,61,1,R2,R1,fable,opus,parsed
CERT8,2825,2026-09-01,2026-09-01,post-5.1,False,201,1,222,0,R1,R2,fable,opus,parsed
CERT10,2826,2026-09-01,2026-09-01,post-5.1,False,242,0,136,0,R1,R2,opus,fable,parsed
CERTM1,2827,2026-09-02,2026-09-02,post-5.1,False,112,0,244,0,R1,R2,opus,fable,parsed
CERTN1,2828,2026-09-02,2026-09-02,post-5.1,False,142,0,229,1,R2,R1,fable,opus,parsed
CERTM2,2829,2026-09-02,2026-09-02,post-5.1,False,131,1,60,0,R1,R2,fable,opus,parsed
CERTN2,2830,2026-09-02,2026-09-02,post-5.1,False,204,0,83,1,R2,R1,fable,opus,parsed
CERTM3,2831,2026-09-05,2026-09-05,post-5.1,False,115,1,128,0,R1,R2,fable,opus,parsed
CERTN3,2832,2026-09-05,2026-09-05,post-5.1,False,89,1,255,1,R2,R1,opus,fable,parsed
GAUTH1,2877,2026-08-31,2026-08-31,pre-5.1,False,245,,86,0,R1,R2,fable,opus,parsed
GAUTH3,2878,2026-08-31,2026-08-31,pre-5.1,False,247,,49,1,R2,R1,opus,fable,parsed
BOOL1,2880,2026-08-31,2026-08-31,pre-5.1,False,10,,18,0,R1,R2,opus,fable,parsed
GAUTH2,2890,2026-08-31,2026-08-31,pre-5.1,False,55,,88,0,R1,R2,fable,opus,parsed
GAUTH4,2902,2026-08-31,2026-08-31,pre-5.1,False,199,,179,1,R2,R1,opus,fable,parsed
MESH1,2903,2026-08-31,2026-08-31,pre-5.1,False,164,0,72,0,R1,R2,opus,fable,parsed
SEAT1,2904,2026-08-31,2026-08-31,pre-5.1,False,18,,202,0,R1,R2,opus,fable,parsed
MATE1,2949,2026-08-31,2026-08-31,pre-5.1,False,180,0,125,1,R2,R1,fable,opus,parsed
GAUTH5,2950,2026-08-31,2026-08-31,pre-5.1,False,35,,157,1,R2,R1,opus,fable,parsed
MATE2,3013,2026-08-31,2026-08-31,pre-5.1,False,212,0,187,1,R2,R1,fable,opus,parsed
MATE6,3036,2026-08-31,2026-08-31,pre-5.1,False,8,0,48,0,R1,R2,opus,fable,parsed
MESH2,3037,2026-08-31,2026-08-31,pre-5.1,False,179,1,205,1,R2,R1,opus,fable,parsed
MATE4A,3068,2026-09-01,2026-09-01,post-5.1,False,159,1,99,1,R2,R1,opus,fable,parsed
BOOL2,3069,2026-09-01,2026-09-01,post-5.1,False,13,1,10,0,R1,R2,fable,opus,parsed
MATE3,3095,2026-09-01,2026-09-01,post-5.1,False,237,1,72,0,R1,R2,fable,opus,parsed
GA-2,3104,2026-09-01,2026-09-01,post-5.1,False,30,,24,0,R1,R2,opus,fable,parsed
MATE5,3113,2026-09-01,2026-09-01,post-5.1,False,60,0,53,1,R2,R1,fable,opus,parsed
MESH3,3144,2026-09-01,2026-09-01,post-5.1,False,119,1,168,0,R1,R2,fable,opus,parsed
MATE8,3154,2026-09-01,2026-09-01,post-5.1,False,50,0,216,0,R1,R2,opus,fable,parsed
MATE7A,3163,2026-09-01,2026-09-01,post-5.1,False,41,1,199,1,R2,R1,opus,fable,parsed
BOOL3,3190,2026-09-01,2026-09-01,post-5.1,False,214,0,126,0,R1,R2,opus,fable,parsed
MESH5,3222,2026-09-01,2026-09-01,post-5.1,False,206,0,195,1,R2,R1,fable,opus,parsed
BOOL8,3233,2026-09-01,2026-09-01,post-5.1,False,180,0,191,1,R2,R1,fable,opus,parsed
SEAT2,3234,2026-09-01,2026-09-01,post-5.1,False,9,,0,0,R1,R2,fable,opus,parsed
MATE9,3267,2026-09-01,2026-09-01,post-5.1,False,175,1,146,0,R1,R2,fable,opus,parsed
MESH4,3279,2026-09-01,2026-09-01,post-5.1,False,111,1,156,0,R1,R2,fable,opus,parsed
