row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs
KLINT,v2,M7,2026-08-07,M,opus,1,0,1,4,0,5,4,4
KLINT-GATE,v3,M7,2026-08-08,S,opus,0,NA,NA,NA,0,NA,NA,NA
RTIMEOUT,v3,M7,2026-08-08,S,opus,0,NA,NA,NA,0,NA,NA,NA
WMONTAGE,v3,M7,2026-08-09,S,fable,0,NA,NA,NA,0,NA,NA,NA
M7-6,v3,M7,2026-08-09,M,fable,1,1,4,3,0,4,2,3
REBASELINE,v3,M8,2026-08-10,S,fable,0,NA,NA,NA,0,NA,NA,NA
RENDER-CLI,v3,M8,2026-08-10,S,opus,0,NA,NA,NA,0,NA,NA,NA
M8-C1,v3,M8,2026-08-10,M,opus,1,1,2,3,0,5,4,4
M8-5,v3,M8,2026-08-10,M,fable,1,1,2,4,0,5,4,5
M8-2,v3,M8,2026-08-10,M,opus,1,0,2,2,NA,5,4,5
M8-1,v3,M8,2026-08-10,S,fable,1,2,1,3,0,5,3,4
M7-8,v3,M7,2026-08-09,M,opus,1,1,2,3,0,5,3,5
CALOCH,v3,M7,2026-08-09,S,opus,0,NA,NA,NA,0,NA,NA,NA
M7-7,v3,M7,2026-08-09,M,opus,1,1,2,4,2,5,4,5
M7-5,v2,M7,2026-08-08,M,fable,1,3,3,2,0,4,2,3
U2,v2,LIB,2026-08-08,L,fable,1,1,1,3,2,5,4,5
SWITCH-P,v3,LIB,2026-08-09,L,opus,1,0,4,2,0,5,4,4
U7,v3,LIB,2026-08-09,M,opus,1,0,1,3,0,5,4,4
G2,v3,LIB,2026-08-09,L,opus,1,0,3,2,0,5,4,4
G1,v2,LIB,2026-08-08,M,opus,1,1,1,3,0,5,4,4
U3,v2,LIB,2026-08-08,M,fable,1,0,0,3,0,NA,NA,NA
U1,v2,LIB,2026-08-07,S,opus,1,0,2,3,0,5,3,3
U5,v3,LIB,2026-08-09,M,opus,1,0,2,5,0,5,3,4
U9S,v3,LIB,2026-08-09,M,opus,1,0,3,4,0,5,4,4
SEL1,v3,LIB,2026-08-09,M,opus,1,0,1,2,0,5,4,4
SWITCH-E,v3,LIB,2026-08-09,XL,fable,1,2,2,6,0,5,4,4
SEL2,v3,LIB,2026-08-10,M,fable,1,0,1,3,0,NA,NA,NA
DOORS,v3,LIB,2026-08-10,M,fable,1,0,3,4,0,5,4,4
PR-C,v3,LIB,2026-08-10,M,opus,1,0,2,3,0,5,4,5
PYG1,v3,LIB,2026-08-10,L,opus,1,0,3,3,2,5,5,4
U10,v3,LIB,2026-08-10,M,opus,1,0,1,4,0,5,5,4
R1-PARAMS,v3,LIB,2026-08-10,S,fable,1,0,1,4,0,5,5,5
PY-CI,v3,LIB,2026-08-10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
PYG23A,v3,LIB,2026-08-11,M,opus,1,0,1,4,0,5,4,4
ASM-1,v3,ASM,2026-08-11,M,fable,1,0,1,4,0,5,5,4
PYBUNDLE,v3,LIB,2026-08-11,M,opus,1,1,2,3,3,5,4,3
ASM-ROOTS,v3,ASM,2026-08-11,M,opus,1,0,0,5,0,5,5,4
ASM-2K,v3,ASM,2026-08-11,M,opus,1,0,2,3,0,5,4,4
