row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class
MESH-PROBEGATE,v4,ASM,2026-08-16,M,opus,1,0,0,2,0,5,5,5,structural
PLACEDUNION,v4,LIB,2026-08-16,L,opus,1,1,NA,NA,5,4,4,3,structural
RESPELL-PR2,v4,LIB,2026-08-16,L,opus,1,NA,NA,NA,2,4,3,3,structural
ASM-R2A,v4,ASM,2026-08-16,L,opus,1,2,2,3,0,5,3,4,numeric
M9-2,v4,M9,2026-08-17,L,fable,1,0,3,4,1,NA,NA,NA,numeric
SEAL,v4,LIB,2026-08-17,M,opus,1,2,2,3,2,3,3,4,structural
PYPU,v4,LIB,2026-08-18,M,opus,1,0,2,3,1,5,5,5,structural
ASM-R2B,v4,ASM,2026-08-18,M,opus,1,2,3,4,0,4.5,3.5,3,structural
TESS-SPAN,v4,ASM,2026-08-18,L,fable,1,0,4,5,0,4,4,3,numeric
ONARC,v4,LIB,2026-08-18,M,fable,1,2,3,6,2,3,3,4,structural
RTABLE,v4,LIB,2026-08-18,M,opus,1,1,2,0,0,5,4,4,structural
PERR,v4,LIB,2026-08-18,S,fable,1,0,1,2,0,5,4,5,structural
RIM,v4,VERBS,2026-08-22,M,fable,1,0,2,3,4,4,4,4,NA
CHAMFER,v4,VERBS,2026-08-22,M,opus,1,0,4,5,1,5,4,4,NA
ARCEVAL,v4,VERBS,2026-08-22,S,opus,1,0,2,3,2,5,4,4,NA
SSIFLAT,v4,VERBS,2026-08-23,M,opus,1,0,2,1,2,5,4,5,NA
ARMS1,v4,VERBS,2026-08-23,L,opus,1,1,4,3,0,5,4,3,NA
ASM-DEMO,v4,ASM,2026-08-23,M,opus,1,0,3,4,2,5,4,4,structural
TESS-SPLIT,v4,ASM,2026-08-23,M,fable,1,1,4,2,0,5,4,3,numeric
DEMO,v4,VERBS,2026-08-23,S,opus,1,1,3,2,0,4,5,3,NA
CREST,v4,M9,2026-08-23,S,opus,1,0,4,2,0,5,4,3,structural
ARMS2,v4,VERBS,2026-08-25,L,opus,1,1,4,4,0,5,4,4,NA
TUBEWALL,v4,VERBS,2026-08-25,S,opus,1,0,3,3,1,5,4,4,NA
OFFA,v4,VERBS,2026-08-25,S,fable,1,0,3,3,0,5,4,4,NA
GATE,v4,VERBS,2026-08-26,M,opus,1,2,5,NA,1,5,4,4,NA
OFFC,v4,VERBS,2026-08-26,L,opus,1,0,3,3,0,5,4,5,NA
M9-3,v4,M9,2026-08-26,L,fable,1,NA,NA,NA,NA,NA,NA,NA,structural
CYLCYL-A,v4,VERBS,2026-08-26,L,opus,1,1,2,3,1,5,4,4,NA
M9-5,v4,M9,2026-08-26,M,opus,0,NA,NA,NA,0,5,5,5,structural
ARMS3,v4,VERBS,2026-08-26,M,opus,1,0,1,3,0,5,4,5,NA
OFFD1,v4,VERBS,2026-08-26,M,opus,1,2,4,5,0,3,4,4,NA
TESSF,v4,VERBS,2026-08-26,M,fable,1,0,1,3,0,5,5,4,NA
CYLCYL-B,v4,VERBS,2026-08-27,M,opus,1,0,4,5,0,4,4,4,NA
