row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class,instrument,era,era_conf
M8-14b,v3,M8,2026-08-12,M,opus,1,2,3,4,0,5,3,5,numeric?,pre_v5,pre_51,date
U8a,v3,LIB,2026-08-08,M,fable,1,0,1,4,0,5,4,4,NA,pre_v5,pre_51,date
RING,v4,VERBS,2026-08-23,M,fable,1,0,3,2,NA,NA,NA,NA,NA,v5,pre_51,date
OFFB,v4,VERBS,2026-08-26,L,opus,1,1,4,2,1,5,4,5,NA,v5,pre_51,date
OFFD2,v4,VERBS,2026-08-27,L,opus,1,2,5,3,0,4,4,4,NA,v5,pre_51,date
DEMO2,v4,VERBS,2026-08-27,M,opus,1,0,3,3,0,5,5,4,NA,v5,pre_51,date
PIERCE,v6,VERBS,2026-08-27,M,opus,1,2,5,5,0,3,4,4,NA,v5,pre_51,date
TEAPOT,v6,VERBS,2026-08-27,M,opus,1,0,3,2,0,4,4,5,NA,v5,pre_51,date
P-1a,v6,PCURVE,2026-08-27,L,opus,1,NA,NA,NA,0,4,4,5,structural,v5,pre_51,date
CENSUS-G2,v6,PCURVE,2026-08-27,M,opus,1,NA,NA,NA,0,4,4,4,numeric,v5,pre_51,date
GUI-0,v6,GUI,2026-08-27,M,opus,1,1,4,4,0,4,4,4,structural,v5,pre_51,date
GUI-1,v6,GUI,2026-08-27,M,fable,1,1,3,2,0,4,4,3,numeric,v5,pre_51,date
GUI-3,v6,GUI,2026-08-27,L,opus,1,1,4,6,1,5,4,3,structural,v5,pre_51,date
GUI-2,v6,GUI,2026-08-27,M,opus,1,1,5,4,4,4,3,3,structural,v5,pre_51,date
GUI-4,v6,GUI,2026-08-28,L,fable,1,3,NA,NA,NA,5,4,4,structural,v5,pre_51,date
SHELLFIX1,v6,VERBS,2026-08-28,L,opus,1,0,4,6,0,4,5,4,NA,v5,pre_51,date
LILYWELD1,v6,VERBS,2026-08-28,S,opus,1,1,6,5,0,5,4,5,NA,v5,pre_51,date
SHELLFIX2A,v6,VERBS,2026-08-28,M,opus,1,3,8,6,0,4,4,4,NA,v5,pre_51,date
F7POLE,v6,VERBS,2026-08-29,M,opus,1,3,3,4,0,4,5,4,NA,v5,pre_51,date
P-1b,v6,PCURVE,2026-08-29,L,opus,1,2,NA,NA,0,4,4,4,structural,v6,pre_51,date
M10-1,v6,M10,2026-08-29,M,opus,1,0,3,3,0,5,4,4,NA,v5,pre_51,date
M10-DI,v6,M10,2026-08-29,M,fable,1,4,8,3,NA,NA,NA,NA,NA,v5,pre_51,date
G18A,v6,LIB,2026-08-29,M,opus,1,1,4,4,0,5,3,3,structural,v5,pre_51,date
SHELLFIX2B,v6,VERBS,2026-08-29,L,opus,1,0,4,4,0,4,5,4,NA,v5,pre_51,date
M10-P,v6,M10,2026-08-29,L,opus,1,1,5,5,NA,NA,NA,NA,NA,v5,pre_51,date
CERT2,v6,CERT,2026-08-29,S,opus,1,1,4,4,0,4,3,4,NA,v5,pre_51,date
P-2,v6,PCURVE,2026-08-29,L,fable,1,NA,NA,NA,0,4,4,4,structural,v6,pre_51,date
BLEND1,v6,BLEND,2026-08-29,L,opus,1,1,2,2,1,4,4,4,NA,v6,pre_51,date
G16A,v6,LIB,2026-08-29,L,opus,1,0,3,4,2,4,4,3,structural,v5,pre_51,date
CERT1,v6,CERT,2026-08-29,M,fable,1,0,1,3,0,5,5,4,NA,v5,pre_51,date
M10-3,v6,M10,2026-08-29,L,opus,1,1,2,4,NA,4,4,4,NA,v5,pre_51,date
M10-2,v6,M10,2026-08-29,M,opus,1,1,6,0,0,4,3,4,NA,v5,pre_51,date
GA-1,v6,VERBS,2026-08-30,M,opus,1,2,4,4,1,4,4,4,NA,v6,pre_51,date
BLEND7,v6,BLEND,2026-08-30,S,opus,1,0,3,2,2,5,4,4,NA,v6,pre_51,date
BLEND2,v6,BLEND,2026-08-30,M,fable,1,0,7,4,3,3,4,4,NA,v6,pre_51,date
BLEND5,v6,BLEND,2026-08-31,L,opus,1,1,3,4,3,5,5,4,NA,v6,pre_51,date
BLEND6,v6,BLEND,2026-08-31,M,fable,1,0,3,4,NA,4,4,4,NA,v6,pre_51,date
BLEND3,v6,BLEND,2026-08-31,M,opus,1,1,4,6,NA,5,5,4,NA,v6,pre_51,date
BLEND4,v6,BLEND,2026-08-31,L,fable,1,0,1,2,NA,4,4,3,NA,v6,pre_51,date
QA-1,v6,QA,2026-08-30,M,fable,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
QA-2,v6,QA,2026-08-30,S,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
QA-3,v6,QA,2026-08-30,M,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
QA-9,v6,QA,2026-08-30,XS,fable,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
QA-6,v6,QA,2026-08-31,L,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
QA-5,v6,QA,2026-08-31,M,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
