row_id,tok_impl,tok_fix,tok_review,tok_total_stated,h_impl,h_fix,h_review,h_total_stated,contaminated,contamination_kind,active_note,raw_tokens,raw_wall
KLINT,184,222,89,NA,2.3,0.3,0.6,NA,0,none,NA,"~184k impl + ~89k review + ~222k fix (resumed segment)","~2.3h impl + ~0.6h review + ~0.3h fix (no gaps)"
KLINT-GATE,103,0,NA,NA,1.4,0,NA,NA,0,none,NA,"impl ~103k / review n/a (orchestrator) / fix 0 (per-phase)","impl ~1.4h / fix 0 (no gaps)"
RTIMEOUT,202,0,NA,NA,3.7,NA,NA,NA,1,starvation,NA,"impl ~202k / review n/a (orchestrator) / fix 0 (per-phase)","impl ~3.7h (render-verification-heavy incl. the 90-min mutex starvation gap ANNOTATED)"
WMONTAGE,208,0,NA,NA,1.2,NA,NA,NA,0,none,NA,"impl ~208k / review n/a / fix 0 (per-phase)","impl ~1.2h (no gaps)"
M7-6,396,500,205,NA,2.5,4,4.6,NA,0,none,R2tok=152;R2h=0.6,"impl ~396k + fix segments ~500k (multi-resume per-segment attribution unreliable — annotated) / R1 ~205k + ~44k delta / R2 ~152k","impl ~2.5h + fixes ~4h (slot-starvation gaps annotated) / R1 ~4.6h + delta ~0.6h / R2 ~0.6h"
REBASELINE,115,NA,NA,NA,NA,NA,NA,5,0,none,NA,"impl ~115k cumulative (multi-segment incl. two nudge recoveries)","~5h wall (dominated by the ref-build compile + two hosted runs; two parked windows nudged annotated)"
RENDER-CLI,101,NA,NA,NA,NA,NA,NA,0.4,0,none,NA,"impl ~101k","~0.4h (no gaps)"
M8-C1,NA,NA,135,363,NA,NA,2.7,6,0,none,NA,"impl+fix ~363k cumulative / R1 ~135k + delta ~21k","impl+fix ~6h cumulative wall (multi-segment slot waits annotated) / R1 ~2.7h + delta ~0.9h"
M8-5,254,14,158,NA,0.9,0.2,1.0,NA,0,none,NA,"impl ~254k + fix ~14k / R1 ~158k","impl ~0.9h + fix ~0.2h / R1 ~1.0h (no gaps)"
M8-2,264,NA,126,NA,4.3,0.5,1.0,NA,0,none,NA,"impl ~264k cumulative (incl. ruling + fix segments) / R1 ~126k","impl ~4.3h + fix ~0.5h / R1 ~1.0h (no gaps)"
M8-1,150,50,136,NA,1.3,0.7,2.0,NA,0,none,NA,"impl ~150k + fix ~50k / R1 ~136k","impl ~1.3h / fix ~0.7h / R1 ~2.0h (no gaps)"
M7-8,NA,NA,206,NA,NA,NA,6.1,NA,1,stall,NA,"impl segments UNRECORDED (both died with the predecessor session); finisher ~275k cumulative across 3 segments; R1 ~206k","finisher ~6.8h across segments (slot-contention gaps annotated); R1 ~6.1h wall (incl. stale-loop tail); impl wall unrecorded"
CALOCH,248,NA,NA,NA,NA,NA,NA,7.6,1,starvation,NA,"impl ~248k (incl. ruling application)","~7.6h wall — ~50 min parked (nudged) + ~4h slot starvation by the SEL1 battery ANNOTATED; active work the remainder"
M7-7,NA,NA,NA,NA,NA,NA,NA,NA,0,none,NA,"impl + R1 + first fix segment: UNRECORDED (all three died with the predecessor session — the handoff gap annotated); finisher ~156k; delta review ~141k; orchestrator ~2k","finisher ~4.6h (slot-starvation gaps annotated); delta review ~3.0h; impl/R1 wall unrecorded"
M7-5,300,73,236,NA,1.0,1.1,2.4,NA,0,none,NA,"impl ~300k + ~1k clippy fix / review ~236k + ~44k delta / fix ~73k (per-phase)","impl ~1.0h + fix ~1.1h / review ~2.4h + ~0.7h delta (no gaps)"
U2,364,49,166,NA,4.1,NA,1.1,NA,0,none,NA,"~364k impl + ~166k review + ~49k finisher (2 dead fix segments unrecorded)","~4.1h impl + ~1.1h review + fixes fragmented across the WSL crash"
SWITCH-P,222,235,135,NA,0.9,0.4,0.5,NA,0,none,NA,"impl ~222k / review ~135k / fix ~235k","impl ~0.9h / review ~0.5h / fix ~0.4h"
