row_id,tok_impl,tok_fix,tok_review,tok_total_stated,h_impl,h_fix,h_review,h_total_stated,contaminated,contamination_kind,active_note,raw_tokens,raw_wall
1,NA,NA,NA,1150,NA,NA,NA,19,1,crash,5,~1.15M (incl. 2 crash resumes),~19h wall incl. crash gap (~5h active)
2,NA,NA,NA,58,NA,NA,NA,0.107,0,none,NA,58k,6.4 min
3,NA,NA,NA,1490,NA,NA,NA,26,1,crash,NA,~1.49M (incl. crash resume),~26h wall incl. crash gap
4,NA,NA,NA,880,NA,NA,NA,9,1,crash,NA,~880k,~9h wall (incl. crash gap)
5,NA,NA,NA,134,NA,NA,NA,1,0,none,NA,134k,~1h
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
7,NA,NA,NA,263,NA,NA,NA,3,0,none,NA,~263k,~3h
8,NA,NA,NA,356,NA,NA,NA,8,1,limit,NA,~356k,~8h wall (incl. limit gap)
9,NA,NA,NA,573,NA,NA,NA,26,1,limit,NA,~573k,~26h wall (incl. limit gap)
10,NA,NA,NA,640,NA,NA,NA,11,0,none,NA,~640k,~11h wall
11,277,NA,NA,NA,8,NA,NA,NA,0,none,NA,~277k impl (+fix tbd),~8h impl wall
12,465,530,NA,NA,11,0.5,NA,NA,0,none,NA,~465k impl + ~530k fix,~11h impl + ~0.5h fix wall
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(fix tbd),(in log)
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
16,NA,NA,NA,94,NA,NA,NA,0.28,0,none,NA,~94k,~17min
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),interrupted twice (spend limit + 529); finisher pattern
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),interrupted once (529); finisher pattern; impl notably complete pre-review
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),first REJECT of the project; fix pass deepened the unit
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),zip is purely structural — no new numeric predicate
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
26,281,323,NA,NA,4.3,4,NA,NA,1,outage,NA,~281k impl + ~323k fix,~4.3h impl + ~4h fix wall (incl. outage gap)
27,178,NA,123,NA,2.5,NA,NA,NA,0,none,NA,~178k impl + ~123k review,~2.5h impl wall
28,NA,NA,NA,742,NA,NA,NA,36,1,outage,NA,~742k impl+fix (in-lane),~1.5 days wall incl. outage #10
29,325,396,NA,NA,NA,NA,NA,48,1,outage,NA,~325k impl + ~396k fix,~2 days wall incl. outage #10
30,128,NA,143,NA,NA,NA,NA,6,0,none,NA,~128k impl + ~143k review,~6h wall
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,—,—
M6-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(in log),(in log)
M6-2,437,467,NA,NA,5.4,8.7,NA,NA,1,ci_wait,NA,~437k impl + ~467k fix,~5.4h impl + ~8.7h fix wall (incl. CI waits under CPU pin)
