row_id,r1_model,r2_model
TESS-SPAN,fable,opus
RIM,fable,opus
SSIFLAT,fable,opus
ASM-DEMO,fable,opus
TUBEWALL,fable,opus
OFFB,fable,opus
M9-3,fable,opus
PIERCE,opus,fable
TEAPOT,fable,opus
P-1a,opus,fable
CENSUS-G2,fable,opus
GUI-0,opus,fable
GUI-1,fable,opus
GUI-3,fable,opus
GUI-2,fable,opus
GUI-4,opus,fable
SHELLFIX1,fable,opus
LILYWELD1,opus,fable
SHELLFIX2A,opus,fable
F7POLE,fable,opus
P-1b,fable,opus
M10-1,fable,opus
M10-DI,opus,fable
G18A,opus,fable
SHELLFIX2B,fable,opus
M10-P,fable,opus
CERT2,fable,opus
P-2,fable,opus
BLEND1,fable,opus
G16A,opus,fable
CERT1,fable,opus
M10-3,fable,opus
M10-2,fable,opus
GA-1,opus,fable
BLEND7,fable,opus
BLEND2,opus,fable
BLEND5,opus,fable
BLEND6,fable,opus
BLEND3,opus,fable
BLEND4,fable,opus
QA-1,fable,opus
QA-2,opus,fable
QA-3,opus,fable
QA-9,fable,opus
QA-6,opus,fable
QA-5,fable,opus
QA-8,fable,opus
CERT4,opus,fable
QA-7,fable,opus
CERT7,opus,fable
QA-6B,opus,fable
AZ-1,fable,opus
CERT5,fable,opus
CERT9,fable,opus
SS-1,opus,fable
CERT6,opus,fable
CERT8,fable,opus
CERT10,opus,fable
CERTM1,opus,fable
CERTN1,opus,fable
CERTM2,fable,opus
CERTN2,opus,fable
CERTM3,fable,opus
CERTN3,fable,opus
GAUTH1,fable,opus
GAUTH3,fable,opus
BOOL1,opus,fable
GAUTH2,fable,opus
GAUTH4,fable,opus
MESH1,opus,fable
SEAT1,opus,fable
MATE1,opus,fable
GAUTH5,fable,opus
MATE2,opus,fable
MATE6,opus,fable
MESH2,fable,opus
MATE4A,fable,opus
BOOL2,fable,opus
MATE3,fable,opus
GA-2,opus,fable
MATE5,opus,fable
MESH3,fable,opus
MATE8,opus,fable
MATE7A,fable,opus
BOOL3,opus,fable
MESH5,opus,fable
BOOL8,opus,fable
SEAT2,fable,opus
MATE9,fable,opus
MESH4,fable,opus
SEAT3,fable,opus
BOOL11,opus,fable
MESH6,fable,opus
TX-1,fable,opus
SEAT4,opus,fable
BOOL13,fable,opus
BOOL12,fable,opus
BOOL9,fable,opus
SEATDV,opus,fable
SEAT5,opus,fable
SEAT6,fable,opus
SEAT7,fable,opus
SEAT8,fable,opus
SEATFW,opus,fable
SEATDN,fable,opus
SEAT9,opus,fable
MESH7,fable,opus
MESH8,fable,opus
MESH10,opus,fable
MESH11,opus,fable
MESH12,opus,fable
C5-1,fable,opus
M10-4,opus,fable
M10-5,fable,opus
M10-6,fable,opus
M10-7,fable,opus
M10-8,fable,opus
M10-9,opus,fable
CS-1,fable,opus
K1,opus,fable
K2,opus,fable
K3,opus,fable
PROPS-1,opus,fable
Span,opus,fable
k-stats,opus,fable
coeffs,fable,opus
SHELL-1,fable,opus
SHELL-2,opus,fable
RC-1,opus,fable
SHELL-5,fable,opus
SHELL-6,fable,opus
SHELL-7,fable,opus
SHELL-8,opus,fable
SHELL-9,fable,opus
SHELL-10,opus,fable
C5A2,opus,fable
T3A,fable,opus
TBOX,fable,opus
T1,fable,opus
WB-1,opus,fable
H4,opus,fable
RIM,fable,opus
H5,opus,fable
ATTR,fable,opus
H6,fable,opus
H7,fable,opus
T,fable,opus
SPLIT,fable,opus
PERF-1,opus,fable
PERF-3,fable,opus
PERF-2,opus,fable
PERF-4,fable,opus
PERF-5,opus,fable
PERF-6,fable,opus
