# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 28.00 | 18.1 |
| eval: edit WITH prior (memo) | 2.98 | 16.6 |
| eval: edit WITHOUT prior | 27.76 | 15.9 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.34 | 4.1 |
| land: gather + checks registry + A5 badge | 2.91 | 17.3 |
|   of which: product_recorded (the gather) | 2.08 | 5.3 |
|   of which: run_checks_on (advisory registry) | 0.03 | 40.6 |
| fit_delta: probe tessellation (open only) | 0.35 | 7.0 |
| INDEX build total (tessellate + BVH + id map) | 1.07 | 5.3 |
|   of which: mesh::tessellate (whole model) | 0.34 | 14.1 |
| scene: scene_focused (GPU vertex assembly) | 0.01 | 64.0 |
| == EDIT→PICTURE TOTAL == | 7.30 | 0.0 |
# corner_table: landing = Landed
# corner_table: landing = Landed
# corner_table: landing = Landed

## corner_table — 23 nodes, δ = 1.000e-4 m, 76 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 2.91 | 5.2 |
| eval: edit WITH prior (memo) | 2.56 | 3.2 |
| eval: edit WITHOUT prior | 2.79 | 2.0 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.05 | 1.5 |
| land: gather + checks registry + A5 badge | 0.26 | 7.8 |
|   of which: product_recorded (the gather) | 0.23 | 25.5 |
|   of which: run_checks_on (advisory registry) | 0.01 | 49.0 |
| fit_delta: probe tessellation (open only) | 0.08 | 32.4 |
| INDEX build total (tessellate + BVH + id map) | 0.13 | 3.7 |
|   of which: mesh::tessellate (whole model) | 0.07 | 15.0 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 87.1 |
| == EDIT→PICTURE TOTAL == | 3.00 | 0.0 |
# heat_sink: landing = Landed
# heat_sink: landing = Landed
# heat_sink: landing = Landed

## heat_sink — 17 nodes, δ = 1.000e-4 m, 152 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 2.50 | 1.9 |
| eval: edit WITH prior (memo) | 2.29 | 2.8 |
| eval: edit WITHOUT prior | 2.27 | 0.7 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.06 | 3.1 |
| land: gather + checks registry + A5 badge | 0.85 | 0.7 |
|   of which: product_recorded (the gather) | 0.75 | 3.5 |
|   of which: run_checks_on (advisory registry) | 0.03 | 21.8 |
| fit_delta: probe tessellation (open only) | 0.16 | 7.8 |
| INDEX build total (tessellate + BVH + id map) | 0.36 | 14.8 |
|   of which: mesh::tessellate (whole model) | 0.15 | 8.9 |
