shape,predicate,margin,band_zero,band_escalate,outcome
l_prism,vertex_separation,2e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,1e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,1e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,1e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,1e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,2e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,-0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,-1e0,1e-9,1e-8,negative
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,-0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,chord_side,2e0,1e-9,1e-8,positive
l_prism,chord_side,1e0,1e-9,1e-8,positive
l_prism,chord_side,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,line_span,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,contact_at_shared_vertex,0e0,1e-9,1e-8,zero
l_prism,canonical_order_x,2e0,5e-324,1e-323,positive
l_prism,canonical_order_x,2e0,5e-324,1e-323,positive
l_prism,canonical_order_x,1e0,5e-324,1e-323,positive
l_prism,canonical_order_x,1e0,5e-324,1e-323,positive
l_prism,canonical_order_x,0e0,5e-324,1e-323,zero
l_prism,canonical_order_y,2e0,5e-324,1e-323,positive
l_prism,loop_orientation,7.5e-1,1e-9,1e-8,positive
l_prism,canonical_order_x,2e0,5e-324,1e-323,positive
l_prism,canonical_order_x,2e0,5e-324,1e-323,positive
l_prism,canonical_order_x,1e0,5e-324,1e-323,positive
l_prism,canonical_order_x,1e0,5e-324,1e-323,positive
l_prism,canonical_order_x,0e0,5e-324,1e-323,zero
l_prism,canonical_order_y,2e0,5e-324,1e-323,positive
l_prism,vertex_separation,2e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
l_prism,vertex_separation,1e0,1e-9,1e-8,positive
l_prism,segment_straightness,0e0,1e-9,1e-8,zero
