# tess-budget-cut: edb9d1bfc055 2026-09-25T17:16:19+00:00
scene,face,name,chart,delta,triangles,u0,u1,v0,v1,nu,nv,muu,muv,mvv,mu1,mv1,cells,grid_cells,patch_cells,opt_cells,span_opt_cells,worst_cert,worst_dev,dev_samples,bands,cap_bands,snap_bands,realized_aspect
bracket/bracket,0,,plane,1e-2,10,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,1,,plane,1e-2,10,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,2,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,3,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,4,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,5,,cylinder,1e-2,12,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,6,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,7,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
bracket/bracket,8,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,0,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,1,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,2,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,3,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,4,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,5,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,6,,plane,1e-2,1,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,7,,plane,1e-2,1,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,8,,plane,1e-2,1,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,9,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,10,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,11,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,12,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
spacer/spacer,13,,plane,1e-2,2,,,,,,,,,,,,,,,,,,,,,,,
