# In-binary A/B, head d163719c9 + temporary CAD_S65_SKIP/CAD_S65_CHECK switch (reverted), release profile, 40 reps/row, min over rounds, tour corpus, tessellate end to end

tag=def  rounds per mode: none=4, seam=4, chord=4, both=4, check=4
body         d         tris  today_us  +seam%  +chord%  +both%  +check% chk/tess% noise(none)%
ball         0.1        116      67.6    -0.3      1.8    20.9     25.6      11.7         40.7
ball         0.02       620     390.2    23.2     15.5    28.8     39.1      25.0         20.1
ball         0.004     3012    1629.7     8.8     -0.3    12.7     50.4      33.5          9.5
cone         0.1         52      33.8    -3.2      5.3     0.0     13.6       8.8         24.3
cone         0.02       224     113.5     0.5      5.5     4.1     34.4      14.2         31.7
cone         0.004     1156     605.7    14.3      8.5    20.8     36.5      31.1         15.0
l_prism      0.1         20      28.2    22.6     20.5    34.3    -16.0       3.2         20.2
l_prism      0.02        20      26.6    17.7     10.4    28.5    -13.2       4.2          8.6
l_prism      0.004       20      23.4     3.5      6.4    13.6     -0.4       2.6         97.9
washer       0.1        100     102.0     7.6     10.4    23.9     12.3       5.7         32.6
washer       0.02       220     343.6     4.6     15.2    19.6      5.7       4.9         14.1
washer       0.004      484     871.4    -2.8     14.9    13.1      3.9       5.2         22.3
donut        0.1      14620   10662.9     5.0     -7.5    13.3     31.2      29.7         12.0
donut        0.02     71820   57242.8     8.7      0.6    14.0     32.6      30.6          6.2
donut        0.004   356168  384909.1    11.8     -0.4    14.6     24.1      24.6          4.0
sphere_wedge 0.1         46      32.7    11.6      1.9    -0.3      7.6       7.9         22.9
sphere_wedge 0.02       212     115.6    14.5     -0.3    12.9     33.4      13.4         15.6
sphere_wedge 0.004     1014     595.1    11.9      1.2    13.3     38.8      29.7         12.6
wedge        0.1         32      29.2     4.7     13.6    18.2      8.6       5.9         29.1
wedge        0.02        60      49.4     4.2      6.2    15.4      7.9       7.0         22.1
wedge        0.004      128     119.0    10.7     17.2    17.8      9.4       7.6         13.0
cone_wedge   0.1          4       8.1    24.6      9.5    26.6     -9.9       2.2          8.6
cone_wedge   0.02         4       8.2    22.4     28.1    30.2    -13.4       2.1          8.5
cone_wedge   0.004        4       8.2    24.2     28.1    36.7    -11.0       2.1          6.1

tag=e6  rounds per mode: none=1, seam=1, chord=1, both=1, check=1
