
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 68.5 10.1 14.75
S65-COST ball 0.02 620 394.3 105.4 26.73
S65-COST ball 0.004 3012 1563.1 625.3 40.01
S65-COST cone 0.1 52 35.5 4.1 11.66
S65-COST cone 0.02 224 109.0 20.0 18.34
S65-COST cone 0.004 1156 533.7 193.7 36.30
S65-COST l_prism 0.1 20 22.3 1.2 5.21
S65-COST l_prism 0.02 20 20.7 1.0 4.97
S65-COST l_prism 0.004 20 20.6 1.2 6.04
S65-COST washer 0.1 100 85.5 6.5 7.66
S65-COST washer 0.02 220 317.2 17.1 5.39
S65-COST washer 0.004 484 770.3 63.0 8.17
S65-COST donut 0.1 14620 10808.3 3756.9 34.76
S65-COST donut 0.02 71820 56741.0 19816.5 34.92
S65-COST donut 0.004 356168 363538.0 101075.2 27.80
S65-COST sphere_wedge 0.1 46 32.8 3.2 9.76
S65-COST sphere_wedge 0.02 212 102.4 19.9 19.46
S65-COST sphere_wedge 0.004 1014 525.2 175.0 33.31
S65-COST wedge 0.1 32 30.2 2.6 8.58
S65-COST wedge 0.02 60 50.0 4.3 8.57
S65-COST wedge 0.004 128 114.7 10.1 8.80
S65-COST cone_wedge 0.1 4 7.4 0.2 2.70
S65-COST cone_wedge 0.02 4 7.7 0.1 1.92
S65-COST cone_wedge 0.004 4 6.0 0.1 2.38
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 23.01s

