
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 67.6 8.3 12.33
S65-COST ball 0.02 620 468.6 117.3 25.04
S65-COST ball 0.004 3012 1629.7 665.1 40.81
S65-COST cone 0.1 52 42.0 4.0 9.52
S65-COST cone 0.02 224 135.4 23.1 17.05
S65-COST cone 0.004 1156 689.3 222.9 32.33
S65-COST l_prism 0.1 20 28.4 1.4 4.92
S65-COST l_prism 0.02 20 26.6 1.2 4.42
S65-COST l_prism 0.004 20 26.7 1.2 4.32
S65-COST washer 0.1 100 135.3 7.7 5.69
S65-COST washer 0.02 220 367.4 19.6 5.34
S65-COST washer 0.004 484 930.5 52.6 5.65
S65-COST donut 0.1 14620 11004.4 3574.1 32.48
S65-COST donut 0.02 71820 58223.1 18844.1 32.37
S65-COST donut 0.004 356168 387582.5 97033.1 25.04
S65-COST sphere_wedge 0.1 46 40.2 3.3 8.09
S65-COST sphere_wedge 0.02 212 133.6 18.9 14.17
S65-COST sphere_wedge 0.004 1014 670.3 200.1 29.85
S65-COST wedge 0.1 32 34.0 2.3 6.82
S65-COST wedge 0.02 60 59.0 4.1 7.01
S65-COST wedge 0.004 128 133.0 10.4 7.84
S65-COST cone_wedge 0.1 4 8.1 0.2 2.25
S65-COST cone_wedge 0.02 4 8.3 0.2 2.14
S65-COST cone_wedge 0.004 4 8.7 0.2 2.40
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 23.80s

