
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 67.8 9.9 14.64
S65-COST ball 0.02 620 357.9 104.7 29.26
S65-COST ball 0.004 3012 1607.8 701.5 43.63
S65-COST cone 0.1 52 40.1 3.8 9.52
S65-COST cone 0.02 224 113.8 19.8 17.44
S65-COST cone 0.004 1156 540.9 215.8 39.90
S65-COST l_prism 0.1 20 26.6 1.4 5.12
S65-COST l_prism 0.02 20 27.4 1.2 4.47
S65-COST l_prism 0.004 20 27.3 1.2 4.23
S65-COST washer 0.1 100 109.2 8.0 7.32
S65-COST washer 0.02 220 344.1 16.3 4.75
S65-COST washer 0.004 484 900.2 65.9 7.32
S65-COST donut 0.1 14620 10528.8 3238.7 30.76
S65-COST donut 0.02 71820 53516.2 19208.8 35.89
S65-COST donut 0.004 356168 361788.3 99897.1 27.61
S65-COST sphere_wedge 0.1 46 29.3 2.9 9.83
S65-COST sphere_wedge 0.02 212 102.8 16.4 15.93
S65-COST sphere_wedge 0.004 1014 531.8 173.2 32.56
S65-COST wedge 0.1 32 29.3 1.9 6.50
S65-COST wedge 0.02 60 48.0 3.5 7.35
S65-COST wedge 0.004 128 107.9 9.0 8.32
S65-COST cone_wedge 0.1 4 6.5 0.2 2.47
S65-COST cone_wedge 0.02 4 6.7 0.2 2.38
S65-COST cone_wedge 0.004 4 6.7 0.2 2.47
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 22.64s

