
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 71.8 10.7 14.94
S65-COST ball 0.02 620 374.3 109.4 29.24
S65-COST ball 0.004 3012 1621.3 625.5 38.58
S65-COST cone 0.1 52 39.6 3.9 9.79
S65-COST cone 0.02 224 120.9 21.7 17.91
S65-COST cone 0.004 1156 560.9 200.0 35.66
S65-COST l_prism 0.1 20 34.5 1.3 3.82
S65-COST l_prism 0.02 20 26.3 1.1 4.16
S65-COST l_prism 0.004 20 24.4 1.0 4.15
S65-COST washer 0.1 100 98.8 6.3 6.42
S65-COST washer 0.02 220 328.0 17.7 5.40
S65-COST washer 0.004 484 856.5 64.0 7.47
S65-COST donut 0.1 14620 10717.2 3232.2 30.16
S65-COST donut 0.02 71820 58580.5 18284.9 31.21
S65-COST donut 0.004 356168 375950.6 103038.1 27.41
S65-COST sphere_wedge 0.1 46 40.6 3.2 7.99
S65-COST sphere_wedge 0.02 212 130.0 20.2 15.53
S65-COST sphere_wedge 0.004 1014 650.3 210.9 32.43
S65-COST wedge 0.1 32 35.9 2.2 6.03
S65-COST wedge 0.02 60 60.0 5.5 9.12
S65-COST wedge 0.004 128 135.6 10.5 7.72
S65-COST cone_wedge 0.1 4 6.7 0.2 2.39
S65-COST cone_wedge 0.02 4 7.8 0.2 2.27
S65-COST cone_wedge 0.004 4 9.5 0.2 1.88
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 23.53s

