S65-COST eps = 0.000000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 101.6 11.2 11.04
S65-COST ball 0.02 620 414.3 112.9 27.25
S65-COST ball 0.004 3012 1952.6 700.9 35.89
S65-COST cone 0.1 52 41.9 3.8 9.09
S65-COST cone 0.02 224 138.4 21.0 15.14
S65-COST cone 0.004 1156 713.3 233.2 32.70
S65-COST l_prism 0.1 20 29.8 1.3 4.29
S65-COST l_prism 0.02 20 28.8 1.3 4.42
S65-COST l_prism 0.004 20 27.2 1.1 4.23
S65-COST washer 0.1 100 124.9 7.8 6.28
S65-COST washer 0.02 220 362.1 17.9 4.95
S65-COST washer 0.004 484 953.1 66.9 7.02
S65-COST donut 0.1 14620 11819.6 3696.4 31.27
S65-COST donut 0.02 71820 60560.7 18247.9 30.13
S65-COST donut 0.004 356168 388564.0 98421.4 25.33
S65-COST sphere_wedge 0.1 46 33.7 2.8 8.29
S65-COST sphere_wedge 0.02 212 134.3 19.4 14.46
S65-COST sphere_wedge 0.004 1014 698.2 201.0 28.79
S65-COST wedge 0.1 32 34.6 2.4 7.06
S65-COST wedge 0.02 60 53.2 4.0 7.46
S65-COST wedge 0.004 128 136.9 10.4 7.57
S65-COST cone_wedge 0.1 4 8.5 0.2 2.28
S65-COST cone_wedge 0.02 4 10.9 0.3 2.42
S65-COST cone_wedge 0.004 4 8.2 0.2 2.11
