S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 79.7 10.2 12.84
S65-COST ball 0.02 620 433.5 111.6 25.74
S65-COST ball 0.004 3012 2120.6 702.2 33.11
S65-COST cone 0.1 52 43.5 3.9 8.91
S65-COST cone 0.02 224 136.0 20.7 15.24
S65-COST cone 0.004 1156 728.7 241.4 33.13
S65-COST l_prism 0.1 20 45.5 1.9 4.23
S65-COST l_prism 0.02 20 28.5 1.2 4.18
S65-COST l_prism 0.004 20 29.6 1.3 4.46
S65-COST washer 0.1 100 127.2 7.5 5.89
S65-COST washer 0.02 220 362.8 19.2 5.29
S65-COST washer 0.004 484 901.9 57.1 6.33
S65-COST donut 0.1 14620 11890.9 3375.5 28.39
S65-COST donut 0.02 71820 64932.5 19025.2 29.30
S65-COST donut 0.004 356168 397667.2 98084.6 24.66
S65-COST sphere_wedge 0.1 46 32.8 3.1 9.59
S65-COST sphere_wedge 0.02 212 120.0 16.3 13.62
S65-COST sphere_wedge 0.004 1014 664.3 187.1 28.17
S65-COST wedge 0.1 32 34.9 2.0 5.72
S65-COST wedge 0.02 60 57.4 3.6 6.23
S65-COST wedge 0.004 128 123.3 8.5 6.86
S65-COST cone_wedge 0.1 4 6.9 0.2 2.30
S65-COST cone_wedge 0.02 4 7.6 0.1 1.95
S65-COST cone_wedge 0.004 4 6.9 0.1 2.13
